# brand<TAB>ingredient(s) — FULL RxNorm (public domain), dumped from the ingested
# rxnorm_atoms/rxnorm_rel (rxnorm-20260706). ';'-sep combos; loader takes first.
# First ingredient prefers the name PrimeKG uses (via --primekg-names).
# Regenerate: scripts/rxnorm_ingest.py then build_rxnorm_table.py --from-db
adalat	nifedipine;nifedipine, micronized
adapin	doxepin
adasuve	loxapine
adbeon	betamethasone
adbry	tralokinumab
adcetris	brentuximab vedotin
adcirca	tadalafil
addaprin	ibuprofen
adderall	amphetamine;dextroamphetamine;amfetamine;dexamfetamine
addyi	flibanserin
adempas	riociguat
adenocard	adenosine
adenoscan	adenosine
adequan	polysulfated glycosaminoglycan
adipex-p	phentermine
adipost	phendimetrazine
adlarity	donepezil
adlyxin	lixisenatide
admelog	insulin lispro;insulin,lispro,human/rdna
adoxa	doxycycline
adprin b	acetaminophen;paracetamol
adquey	difamilast
adrenaclick	epinephrine
adrenalin	epinephrine
adriamycin	doxorubicin
adrucil	fluorouracil
adsorbocarpine	pilocarpine
adsorbonac	sodium chloride
adstiladrin	nadofaragene firadenovec
adthyza	thyroid;thyroid (usp)
aduhelm	aducanumab
advair	salmeterol;fluticasone
advanced eye relief redness instant relief	naphazoline;polyethylene glycol 300
advanced formula di-gel	calcium carbonate;magnesium hydroxide;simethicone;calcarea carbonica;calcium (as carbonate);calcium (as calcium carbonate)
advantage 24 contraceptive	nonoxynol-9;nonoxynol 9
advantage multi	moxidectin;imidacloprid
advantage-s	nonoxynol-9;nonoxynol 9
advantus	imidacloprid
advate	factor viii;antihemophilic factor;coagulation factor viii;antihaemophilic globulin;antihemophilic factor viii
advicor	niacin;lovastatin;nicotinic acid;niacin (as nicotinic acid)
advil	ibuprofen
advocin	danofloxacin
adynovate	factor viii;antihemophilic factor;coagulation factor viii;antihaemophilic globulin;antihemophilic factor viii
adzenys	amphetamine;amfetamine
adzynma	apadamtase alfa;adamts13, recombinant;apadamtase alfa, recombinant
aemcolo	rifamycin;rifamycin sv
aeroaid	thimerosal;thimerosol;thiomersal;thimerosal, trace
aerobid	flunisolide
aerobid-m	flunisolide
aerodine	povidone-iodine;povidone iodine
